	NO_OF_SUBJECTS	GRP_1	GRP_2	GRP_4	GRP_5	GRP_6	GRP_7	OPIOIDS	OTHER_DRUGS	CLUSTERS
3714	0.12374986262226619	0.27692307692307694	0.2909090909090909	0.2	0.3076923076923077	0.3269230769230769	0.09090909090909091	2	110	3
3729	0.024837894274096054	0.043076923076923075	0.03636363636363636	0.2	0.02564102564102564	0.038461538461538464	0.0	2	360	3
3733	0.021815584130124188	0.03692307692307692	0.05454545454545454	0.2	0.07692307692307693	0.07692307692307693	0.0	2	333	3
3734	0.026706231454005934	0.024615384615384615	0.0	0.0	0.05128205128205128	0.038461538461538464	0.0	2	241	3
3755	0.0457193098142653	0.08615384615384615	0.07272727272727272	0.0	0.1282051282051282	0.057692307692307696	0.0	2	254	3
3760	0.010935267611825474	0.01846153846153846	0.01818181818181818	0.0	0.02564102564102564	0.019230769230769232	0.0	2	430	3
3764	0.03912517859105396	0.01846153846153846	0.01818181818181818	0.0	0.07692307692307693	0.057692307692307696	0.0	2	236	3
3789	0.013902626662270578	0.00923076923076923	0.03636363636363636	0.0	0.0	0.0	0.0	2	391	3
3806	0.028464666446862293	0.00923076923076923	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	248	3
3813	0.003626772172766238	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	397	3
3815	0.06181998021760633	0.1076923076923077	0.05454545454545454	0.2	0.07692307692307693	0.15384615384615385	0.09090909090909091	2	126	3
3816	0.14045499505440157	0.09230769230769231	0.09090909090909091	0.4	0.05128205128205128	0.07692307692307693	0.09090909090909091	2	157	3
3817	0.43532256291900207	0.5753846153846154	0.509090909090909	0.4	0.4358974358974359	0.576923076923077	0.6363636363636364	2	17	3
3836	0.026816133641059458	0.04	0.01818181818181818	0.0	0.05128205128205128	0.038461538461538464	0.0	2	370	3
3839	0.00972634355423673	0.03692307692307692	0.0	0.0	0.02564102564102564	0.038461538461538464	0.09090909090909091	2	443	3
3842	0.09462578305308275	0.13846153846153847	0.10909090909090909	0.0	0.1282051282051282	0.23076923076923078	0.36363636363636365	2	145	3
3843	0.0961094625783053	0.18769230769230769	0.14545454545454545	0.0	0.20512820512820512	0.17307692307692307	0.0	2	112	3
3847	0.009946147928343774	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	301	3
3852	0.05934718100890207	0.06153846153846154	0.07272727272727272	0.0	0.05128205128205128	0.07692307692307693	0.0	2	168	3
3856	0.22727772282668424	0.2676923076923077	0.18181818181818182	0.4	0.2564102564102564	0.3076923076923077	0.18181818181818182	2	41	3
3862	0.0067040334102648645	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	410	3
3887	0.12325530278052534	0.2276923076923077	0.12727272727272726	0.2	0.20512820512820512	0.19230769230769232	0.09090909090909091	2	50	3
3902	0.018243763050884713	0.043076923076923075	0.05454545454545454	0.0	0.02564102564102564	0.019230769230769232	0.0	2	352	3
3912	0.07270029673590504	0.05846153846153846	0.05454545454545454	0.0	0.1282051282051282	0.057692307692307696	0.0	2	163	3
3919	0.018848225079679086	0.015384615384615385	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	361	3
